Full_date_start,Year_start,Month_start,Day_start,Full_date_end,Year_end,Month_end,Day_end,Country,Location,Type,Sub_Type,Name,Killed,Cost_dollars,Affected,Id
8091900,1900,9,80,8091900,1900,9,80,United States,Galveston (Texas),Storm,Tropical cyclone,,6000,,30,1900-0003
5111991,1991,11,51,8111991,1991,11,81,Philippines,"Bago, La Cariota, Bacalod",Storm,Tropical cyclone,Thelma (Uring),5956,647254,100,1991-0383
27052006,2006,5,27,27052006,2006,5,27,Indonesia,"Yogyakarta, Central Java",Earthquake (seismic activity),Earthquake (ground shaking),,5778,3177923,3100,2006-0279
1909,1909,,,1909,1909,,,Indonesia,Java,Volcano,Volcanic eruption,Kelud,5500,,,1909-0005
17011995,1995,1,17,17011995,1995,1,17,Japan,"Kobe, Osaka and Kyoto reg",Earthquake (seismic activity),Earthquake (ground shaking),,5297,541636,100000,1995-0016
30101960,1960,10,30,30101960,1960,10,30,Bangladesh,"Chittagong area, Off-Shor",Storm,Tropical cyclone,,5149,200000,,1960-0031
28061948,1948,6,28,28061948,1948,6,28,Japan,Fukui,Earthquake (seismic activity),Earthquake (ground shaking),,5131,,1000,1948-0005
26091959,1959,9,26,26091959,1959,9,26,Japan,Entire nation,Storm,Tropical cyclone,Vera,5098,1500000,600,1959-0013
10041972,1972,4,10,10041972,1972,4,10,Iran Islam Rep,Qir (Southwest Iran),Earthquake (seismic activity),Earthquake (ground shaking),,5057,23458,1,1972-0027
21051941,1941,5,21,21051941,1941,5,21,Bangladesh,"Bhola, East Meghna estuar",Storm,Tropical cyclone,,5000,,,1941-0003
16031925,1925,3,16,16031925,1925,3,16,China P Rep,Yunnan,Earthquake (seismic activity),Earthquake (ground shaking),,5000,,,1925-0002
24031923,1923,3,24,24031923,1923,3,24,China P Rep,,Earthquake (seismic activity),Earthquake (ground shaking),,5000,,,1923-0019
26091927,1927,9,26,26091927,1927,9,26,China P Rep,Yeng-Kong,Storm,Tropical cyclone,,5000,,,1927-0009
5031987,1987,3,50,5031987,1987,3,50,Ecuador,"Carchi, Imbabura, Pastaza",Earthquake (seismic activity),Earthquake (ground shaking),,5000,150000,1500,1987-0070
1929,1929,,,1929,1929,,,Guatemala,,Volcano,Volcanic eruption,Santiaguito,5000,,,1929-0005
